#
# bh1_seg plane wpos_min wpos_max
#
 0 101 -151.5 -147.5
 1 101 -151.5 -147.5
 2 101  -41.5  -23.5
 3 101  -38.5   -8.5
 4 101  -19.5    0.5
 5 101   -8.5    9.5
 6 101    3.5   17.5
 7 101    9.5   41.5
 8 101   22.5   46.5
 9 101 -151.5 -147.5
10 101 -151.5 -147.5
#
 0 102 -151.5 -147.5
 1 102 -151.5 -147.5
 2 102  -41.5  -23.5
 3 102  -38.5   -8.5
 4 102  -17.5    4.5
 5 102   -9.5   10.5
 6 102    2.5   16.5
 7 102   10.5   42.5
 8 102   21.5   45.5
 9 102 -151.5 -147.5
10 102 -151.5 -147.5
#
 0 103 -151.5 -147.5
 1 103 -151.5 -147.5
 2 103  -44.5  -26.5
 3 103  -42.5   -8.5
 4 103  -21.5    2.5
 5 103  -12.5    9.5
 6 103    2.5   16.5
 7 103    8.5   44.5
 8 103   24.5   42.5
 9 103 -151.5 -147.5
10 103 -151.5 -147.5
#
 0 104 -151.5 -147.5
 1 104 -151.5 -147.5
 2 104  -47.5  -27.5
 3 104  -44.5   -8.5
 4 104  -22.5    3.5
 5 104  -12.5   11.5
 6 104    3.5   19.5
 7 104   10.5   48.5
 8 104   28.5   48.5
 9 104 -151.5 -147.5
10 104 -151.5 -147.5
#
 0 105 -151.5 -147.5
 1 105 -151.5 -147.5
 2 105  -48.5  -26.5
 3 105  -44.5   -8.5
 4 105  -22.5    3.5
 5 105  -12.5   13.5
 6 105    3.5   21.5
 7 105   11.5   51.5
 8 105   25.5   45.5
 9 105 -151.5 -147.5
10 105 -151.5 -147.5
#
 0 106 -151.5 -147.5
 1 106 -151.5 -147.5
 2 106  -53.5  -29.5
 3 106  -48.5  -10.5
 4 106  -24.5    5.5
 5 106  -14.5   11.5
 6 106    2.5   20.5
 7 106    9.5   51.5
 8 106   30.5   50.5
 9 106 -151.5 -147.5
10 106 -151.5 -147.5
#
 0 107 -151.5 -147.5
 1 107 -151.5 -147.5
 2 107  -75.5  -41.5
 3 107  -77.5  -13.5
 4 107  -35.5   12.5
 5 107  -22.5   23.5
 6 107    5.5   33.5
 7 107   16.5   78.5
 8 107   42.5   74.5
 9 107 -151.5 -147.5
10 107 -151.5 -147.5
#
 0 108 -151.5 -147.5
 1 108 -151.5 -147.5
 2 108  -74.5  -40.5
 3 108  -77.5  -13.5
 4 108  -40.5   11.5
 5 108  -24.5   21.5
 6 108    4.5   36.5
 7 108   15.5   79.5
 8 108   47.5   79.5
 9 108 -151.5 -147.5
10 108 -151.5 -147.5
#
 0 109 -151.5 -147.5
 1 109 -151.5 -147.5
 2 109  -85.5  -49.5
 3 109  -81.5  -13.5
 4 109  -43.5   12.5
 5 109  -23.5   24.5
 6 109    6.5   40.5
 7 109   14.5   86.5
 8 109   47.5   77.5
 9 109 -151.5 -147.5
10 109 -151.5 -147.5
#
 0 110 -151.5 -147.5
 1 110 -151.5 -147.5
 2 110  -70.5  -66.5
 3 110  -81.5  -11.5
 4 110  -37.5   12.5
 5 110  -27.5   24.5
 6 110    6.5   38.5
 7 110   17.5   85.5
 8 110   46.5   80.5
 9 110 -151.5 -147.5
10 110 -151.5 -147.5
#
 0 111 -151.5 -147.5
 1 111 -151.5 -147.5
 2 111  -87.5  -51.5
 3 111  -85.5  -11.5
 4 111  -49.5    8.5
 5 111  -28.5   21.5
 6 111    4.5   38.5
 7 111   16.5   88.5
 8 111   53.5   85.5
 9 111 -151.5 -147.5
10 111 -151.5 -147.5
#
 0 112 -151.5 -147.5
 1 112 -151.5 -147.5
 2 112  -87.5  -47.5
 3 112  -89.5  -13.5
 4 112  -45.5   14.5
 5 112  -30.5   23.5
 6 112    4.5   42.5
 7 112    8.5   84.5
 8 112   50.5   84.5
 9 112 -151.5 -147.5
10 112 -151.5 -147.5

