#num     spill time       feild 
0         0.500000      0.999998      
1         1.500000      0.999996      
2         2.500000      0.999999      
3         3.500000      1.000003      
4         4.500000      1.000001      
5         5.500000      1.000000      
6         6.500000      0.999998      
7         7.500000      0.999997      
8         8.500000      0.999998      
9         9.500000      0.999999      
10         10.500000      1.000000      
11         11.500000      0.999981      
12         12.500000      0.999976      
13         13.500000      0.999973      
14         14.500000      0.999968      
15         15.500000      0.999939      
16         16.500000      0.999925      
17         17.500000      0.999898      
18         18.500000      0.999875      
19         19.500000      0.999866      
20         20.500000      0.999846      
21         21.500000      0.999806      
22         22.500000      0.999792      
23         23.500000      0.999743      
24         24.500000      0.999708      
25         25.500000      0.999678      
26         26.500000      0.999674      
27         27.500000      0.999675      
28         28.500000      0.999673      
29         29.500000      0.999691      
30         30.500000      0.999732      
31         31.500000      0.999756      
32         32.500000      0.999779      
33         33.500000      0.999898      
34         34.500000      0.999953      
35         35.500000      1.000001      
36         36.500000      1.000054      
37         37.500000      1.000108      
38         38.500000      1.000130      
39         39.500000      1.000133      
40         40.500000      1.000151      
41         41.500000      1.000161      
42         42.500000      1.000159      
43         43.500000      1.000133      
44         44.500000      1.000120      
45         45.500000      1.000082      
46         46.500000      1.000039      
47         47.500000      0.999985      
48         48.500000      0.999928      
49         49.500000      0.999927      
50         50.500000      0.999930      
51         51.500000      0.999851      
52         52.500000      0.999822      
53         53.500000      0.999802      
54         54.500000      0.999790      
55         55.500000      0.999791      
56         56.500000      0.999809      
57         57.500000      0.999836      
58         58.500000      0.999845      
59         59.500000      0.999881      
60         60.500000      0.999905      
61         61.500000      0.999948      
62         62.500000      0.999954      
63         63.500000      0.999991      
64         64.500000      1.000035      
65         65.500000      1.000091      
66         66.500000      1.000123      
67         67.500000      1.000155      
68         68.500000      1.000186      
69         69.500000      1.000202      
70         70.500000      1.000197      
71         71.500000      1.000208      
72         72.500000      1.000221      
73         73.500000      1.000213      
74         74.500000      1.000195      
75         75.500000      1.000174      
76         76.500000      1.000166      
77         77.500000      1.000150      
78         78.500000      1.000139      
79         79.500000      1.000115      
80         80.500000      1.000114      
81         81.500000      1.000096      
82         82.500000      1.000073      
83         83.500000      1.000070      
84         84.500000      1.000070      
85         85.500000      1.000060      
86         86.500000      1.000052      
87         87.500000      1.000048      
88         88.500000      1.000053      
89         89.500000      1.000050      
90         90.500000      1.000041      
91         91.500000      1.000039      
92         92.500000      1.000044      
93         93.500000      1.000056      
94         94.500000      1.000058      
95         95.500000      1.000053      
96         96.500000      1.000049      
97         97.500000      1.000055      
98         98.500000      1.000058      
99         99.500000      1.000054      
100         100.500000      1.000054      
101         101.500000      1.000054      
102         102.500000      1.000052      
103         103.500000      1.000054      
104         104.500000      1.000051      
105         105.500000      1.000048      
106         106.500000      1.000055      
107         107.500000      1.000054      
108         108.500000      1.000046      
109         109.500000      1.000055      
110         110.500000      1.000059      
111         111.500000      1.000057      
112         112.500000      1.000056      
113         113.500000      1.000053      
114         114.500000      1.000047      
115         115.500000      1.000048      
116         116.500000      1.000053      
117         117.500000      1.000056      
118         118.500000      1.000053      
119         119.500000      1.000054      
120         120.500000      1.000054      
121         121.500000      1.000046      
122         122.500000      1.000050      
123         123.500000      1.000054      
124         124.500000      1.000053      
125         125.500000      1.000052      
126         126.500000      1.000046      
127         127.500000      1.000048      
128         128.500000      1.000056      
129         129.500000      1.000051      
130         130.500000      1.000047      
131         131.500000      1.000047      
132         132.500000      1.000047      
133         133.500000      1.000042      
134         134.500000      1.000039      
135         135.500000      1.000040      
136         136.500000      1.000028      
137         137.500000      1.000020      
138         138.500000      1.000023      
139         139.500000      1.000016      
140         140.500000      1.000012      
141         141.500000      1.000008      
142         142.500000      1.000010      
143         143.500000      1.000005      
144         144.500000      0.999998      
145         145.500000      0.999992      
146         146.500000      0.999996      
147         147.500000      0.999990      
148         148.500000      0.999983      
149         149.500000      0.999993      
150         150.500000      0.999993      
151         151.500000      0.999988      
152         152.500000      0.999988      
153         153.500000      0.999987      
154         154.500000      0.999982      
155         155.500000      0.999980      
156         156.500000      0.999980      
157         157.500000      0.999977      
158         158.500000      0.999978      
159         159.500000      0.999977      
160         160.500000      0.999974      
161         161.500000      0.999972      
162         162.500000      0.999975      
163         163.500000      0.999975      
164         164.500000      0.999976      
165         165.500000      0.999974      
166         166.500000      0.999974      
167         167.500000      0.999978      
168         168.500000      0.999979      
169         169.500000      0.999976      
170         170.500000      0.999973      
171         171.500000      0.999978      
172         172.500000      0.999979      
173         173.500000      0.999978      
174         174.500000      0.999973      
175         175.500000      0.999975      
176         176.500000      0.999976      
177         177.500000      0.999974      
178         178.500000      0.999972      
179         179.500000      0.999975      
180         180.500000      0.999980      
181         181.500000      0.999975      
182         182.500000      0.999968      
183         183.500000      0.999975      
184         184.500000      0.999978      
185         185.500000      0.999978      
186         186.500000      0.999977      
187         187.500000      0.999975      
188         188.500000      0.999972      
189         189.500000      0.999972      
190         190.500000      0.999975      
191         191.500000      0.999974      
192         192.500000      0.999976      
193         193.500000      0.999975      
194         194.500000      0.999975      
195         195.500000      0.999973      
196         196.500000      0.999972      
197         197.500000      0.999975      
198         198.500000      0.999974      
199         199.500000      0.999975      
200         200.500000      0.999978      
201         201.500000      0.999974      
202         202.500000      0.999973      
203         203.500000      0.999979      
204         204.500000      0.999980      
205         205.500000      0.999978      
206         206.500000      0.999978      
207         207.500000      0.999976      
208         208.500000      0.999971      
209         209.500000      0.999976      
210         210.500000      0.999980      
211         211.500000      0.999980      
212         212.500000      0.999977      
213         213.500000      0.999979      
214         214.500000      0.999979      
215         215.500000      0.999978      
216         216.500000      0.999978      
217         217.500000      0.999976      
218         218.500000      0.999976      
219         219.500000      0.999977      
220         220.500000      0.999978      
221         221.500000      0.999980      
222         222.500000      0.999972      
223         223.500000      0.999971      
224         224.500000      0.999976      
225         225.500000      0.999975      
226         226.500000      0.999976      
227         227.500000      0.999975      
228         228.500000      0.999974      
229         229.500000      0.999975      
230         230.500000      0.999976      
231         231.500000      0.999973      
232         232.500000      0.999971      
233         233.500000      0.999974      
234         234.500000      0.999975      
235         235.500000      0.999973      
236         236.500000      0.999975      
237         237.500000      0.999975      
238         238.500000      0.999974      
239         239.500000      0.999974      
240         240.500000      0.999977      
241         241.500000      0.999979      
242         242.500000      0.999977      
243         243.500000      0.999981      
244         244.500000      0.999984      
245         245.500000      0.999980      
246         246.500000      0.999980      
247         247.500000      0.999988      
248         248.500000      0.999987      
249         249.500000      0.999987      
250         250.500000      0.999990      
251         251.500000      0.999991      
252         252.500000      0.999990      
253         253.500000      0.999989      
254         254.500000      0.999994      
255         255.500000      1.000005      
256         256.500000      1.000008      
257         257.500000      1.000009      
258         258.500000      1.000013      
259         259.500000      1.000021      
260         260.500000      1.000019      
261         261.500000      1.000017      
262         262.500000      1.000018      
263         263.500000      1.000021      
264         264.500000      1.000018      
265         265.500000      1.000018      
266         266.500000      1.000023      
267         267.500000      1.000015      
268         268.500000      1.000013      
269         269.500000      1.000017      
270         270.500000      1.000022      
271         271.500000      1.000025      
272         272.500000      1.000021      
273         273.500000      1.000018      
274         274.500000      1.000019      
275         275.500000      1.000013      
276         276.500000      1.000016      
277         277.500000      1.000019      
278         278.500000      1.000019      
279         279.500000      1.000021      
280         280.500000      1.000023      
281         281.500000      1.000023      
282         282.500000      1.000020      
283         283.500000      1.000016      
284         284.500000      1.000017      
285         285.500000      1.000029      
286         286.500000      1.000027      
287         287.500000      1.000020      
288         288.500000      1.000022      
289         289.500000      1.000028      
290         290.500000      1.000031      
291         291.500000      1.000035      
292         292.500000      1.000032      
293         293.500000      1.000031      
294         294.500000      1.000035      
295         295.500000      1.000036      
296         296.500000      1.000036      
297         297.500000      1.000038      
298         298.500000      1.000034      
299         299.500000      1.000031      
300         300.500000      1.000033      
301         301.500000      1.000032      
302         302.500000      1.000031      
303         303.500000      1.000032      
304         304.500000      1.000034      
305         305.500000      1.000032      
306         306.500000      1.000030      
307         307.500000      1.000033      
308         308.500000      1.000030      
309         309.500000      1.000023      
310         310.500000      1.000009      
311         311.500000      0.999953      
312         312.500000      0.999951      
313         313.500000      0.999915      
314         314.500000      0.999867      
315         315.500000      0.999794      
316         316.500000      0.999745      
317         317.500000      0.999640      
318         318.500000      0.999544      
319         319.500000      0.999506      
320         320.500000      0.999476      
321         321.500000      0.999397      
322         322.500000      0.999382      
323         323.500000      0.999359      
324         324.500000      0.999326      
325         325.500000      0.999320      
326         326.500000      0.999352      
327         327.500000      0.999382      
328         328.500000      0.999417      
329         329.500000      0.999503      
330         330.500000      0.999539      
331         331.500000      0.999598      
332         332.500000      0.999641      
333         333.500000      0.999747      
334         334.500000      0.999761      
335         335.500000      0.999816      
336         336.500000      0.999883      
337         337.500000      0.999915      
338         338.500000      0.999930      
339         339.500000      0.999942      
340         340.500000      0.999968      
341         341.500000      0.999991      
342         342.500000      1.000007      
343         343.500000      1.000020      
344         344.500000      1.000025      
345         345.500000      1.000024      
346         346.500000      1.000019      
347         347.500000      1.000022      
348         348.500000      1.000024      
349         349.500000      1.000033      
350         350.500000      1.000036      
351         351.500000      1.000042      
352         352.500000      1.000050      
353         353.500000      1.000054      
354         354.500000      1.000052      
355         355.500000      1.000069      
356         356.500000      1.000078      
357         357.500000      1.000081      
358         358.500000      1.000086      
359         359.500000      1.000097      
360         360.500000      1.000107      
361         361.500000      1.000110      
362         362.500000      1.000098      
363         363.500000      1.000088      
364         364.500000      1.000087      
365         365.500000      1.000094      
366         366.500000      1.000107      
367         367.500000      1.000100      
368         368.500000      1.000096      
369         369.500000      1.000102      
370         370.500000      1.000096      
371         371.500000      1.000086      
372         372.500000      1.000098      
373         373.500000      1.000103      
374         374.500000      1.000096      
375         375.500000      1.000092      
376         376.500000      1.000091      
377         377.500000      1.000086      
378         378.500000      1.000085      
379         379.500000      1.000084      
380         380.500000      1.000085      
381         381.500000      1.000091      
382         382.500000      1.000091      
383         383.500000      1.000081      
384         384.500000      1.000075      
385         385.500000      1.000076      
386         386.500000      1.000076      
387         387.500000      1.000076      
388         388.500000      1.000079      
389         389.500000      1.000082      
390         390.500000      1.000081      
391         391.500000      1.000076      
392         392.500000      1.000082      
393         393.500000      1.000087      
394         394.500000      1.000083      
395         395.500000      1.000081      
396         396.500000      1.000077      
397         397.500000      1.000072      
398         398.500000      1.000073      
399         399.500000      1.000076      
400         400.500000      1.000077      
401         401.500000      1.000068      
402         402.500000      1.000069      
403         403.500000      1.000068      
404         404.500000      1.000067      
405         405.500000      1.000065      
406         406.500000      1.000066      
407         407.500000      1.000065      
408         408.500000      1.000054      
409         409.500000      1.000049      
410         410.500000      1.000049      
411         411.500000      1.000048      
412         412.500000      1.000047      
413         413.500000      1.000043      
414         414.500000      1.000043      
415         415.500000      1.000047      
416         416.500000      1.000050      
417         417.500000      1.000035      
418         418.500000      1.000024      
419         419.500000      1.000027      
420         420.500000      1.000033      
421         421.500000      1.000037      
422         422.500000      1.000030      
423         423.500000      1.000028      
424         424.500000      1.000034      
425         425.500000      1.000023      
426         426.500000      1.000016      
427         427.500000      1.000024      
428         428.500000      1.000030      
429         429.500000      1.000022      
430         430.500000      1.000020      
431         431.500000      1.000018      
432         432.500000      1.000017      
433         433.500000      1.000020      
434         434.500000      1.000018      
435         435.500000      1.000016      
436         436.500000      1.000020      
437         437.500000      1.000016      
438         438.500000      1.000013      
439         439.500000      1.000017      
440         440.500000      1.000017      
441         441.500000      1.000012      
442         442.500000      1.000010      
443         443.500000      1.000011      
444         444.500000      1.000011      
445         445.500000      1.000013      
446         446.500000      1.000014      
447         447.500000      1.000011      
448         448.500000      1.000011      
449         449.500000      1.000011      
450         450.500000      1.000011      
451         451.500000      1.000009      
452         452.500000      1.000006      
453         453.500000      1.000006      
454         454.500000      1.000005      
455         455.500000      1.000005      
456         456.500000      1.000005      
457         457.500000      1.000007      
458         458.500000      1.000008      
459         459.500000      1.000006      
460         460.500000      1.000005      
461         461.500000      1.000004      
462         462.500000      1.000004      
463         463.500000      1.000004      
464         464.500000      1.000004      
465         465.500000      1.000003      
466         466.500000      1.000002      
467         467.500000      1.000005      
468         468.500000      1.000006      
469         469.500000      1.000003      
470         470.500000      1.000002      
471         471.500000      1.000003      
472         472.500000      1.000003      
473         473.500000      1.000002      
474         474.500000      1.000003      
475         475.500000      1.000003      
476         476.500000      1.000001      
477         477.500000      1.000002      
478         478.500000      1.000002      
479         479.500000      1.000003      
480         480.500000      1.000002      
481         481.500000      1.000002      
482         482.500000      1.000001      
483         483.500000      1.000001      
484         484.500000      1.000000      
485         485.500000      1.000000      
486         486.500000      1.000000      
487         487.500000      0.999999      
488         488.500000      0.999999      
489         489.500000      0.999999      
490         490.500000      0.999999      
491         491.500000      0.999999      
492         492.500000      1.000000      
493         493.500000      0.999999      
494         494.500000      0.999998      
495         495.500000      0.999998      
496         496.500000      0.999999      
497         497.500000      0.999999      
498         498.500000      0.999999      
499         499.500000      0.999998      
500         500.500000      0.999998      
501         501.500000      0.999998      
502         502.500000      0.999998      
503         503.500000      0.999999      
504         504.500000      0.999999      
505         505.500000      0.999999      
506         506.500000      0.999999      
507         507.500000      0.999999      
508         508.500000      0.999999      
509         509.500000      0.999999      
510         510.500000      0.999999      
511         511.500000      0.999999      
512         512.500000      0.999999      
513         513.500000      0.999998      
514         514.500000      0.999998      
515         515.500000      0.999998      
516         516.500000      0.999998      
517         517.500000      0.999998      
518         518.500000      0.999998      
519         519.500000      0.999998      
520         520.500000      0.999997      
521         521.500000      0.999997      
522         522.500000      0.999998      
523         523.500000      0.999998      
524         524.500000      0.999999      
525         525.500000      0.999998      
526         526.500000      0.999998      
527         527.500000      0.999998      
528         528.500000      0.999997      
529         529.500000      0.999997      
530         530.500000      0.999997      
531         531.500000      0.999998      
532         532.500000      0.999999      
533         533.500000      0.999998      
534         534.500000      0.999998      
535         535.500000      0.999998      
536         536.500000      0.999999      
537         537.500000      0.999999      
538         538.500000      0.999999      
539         539.500000      0.999999      
540         540.500000      0.999999      
541         541.500000      0.999999      
542         542.500000      0.999998      
543         543.500000      0.999999      
544         544.500000      0.999999      
545         545.500000      0.999999      
546         546.500000      0.999999      
547         547.500000      0.999999      
548         548.500000      0.999999      
549         549.500000      0.999999      
550         550.500000      0.999998      
551         551.500000      0.999999      
552         552.500000      0.999999      
553         553.500000      0.999999      
554         554.500000      0.999998      
555         555.500000      0.999998      
556         556.500000      0.999998      
557         557.500000      0.999998      
558         558.500000      0.999998      
559         559.500000      0.999997      
560         560.500000      0.999998      
561         561.500000      0.999998      
562         562.500000      0.999997      
563         563.500000      0.999997      
564         564.500000      0.999998      
565         565.500000      0.999998      
566         566.500000      0.999998      
567         567.500000      0.999999      
568         568.500000      0.999998      
569         569.500000      0.999998      
570         570.500000      0.999998      
571         571.500000      0.999998      
572         572.500000      0.999998      
573         573.500000      0.999999      
574         574.500000      0.999999      
575         575.500000      0.999999      
576         576.500000      0.999998      
577         577.500000      0.999999      
578         578.500000      0.999999      
