#num     spill time       feild 
0         0.500000      0.999897      
1         1.500000      0.999901      
2         2.500000      0.999900      
3         3.500000      0.999886      
4         4.500000      0.999886      
5         5.500000      0.999902      
6         6.500000      0.999912      
7         7.500000      0.999916      
8         8.500000      0.999912      
9         9.500000      0.999914      
10         10.500000      0.999927      
11         11.500000      0.999927      
12         12.500000      0.999917      
13         13.500000      0.999930      
14         14.500000      0.999939      
15         15.500000      0.999924      
16         16.500000      0.999946      
17         17.500000      0.999955      
18         18.500000      0.999962      
19         19.500000      0.999963      
20         20.500000      0.999958      
21         21.500000      0.999951      
22         22.500000      0.999980      
23         23.500000      1.000042      
24         24.500000      1.000032      
25         25.500000      1.000016      
26         26.500000      0.999990      
27         27.500000      0.999988      
28         28.500000      0.999980      
29         29.500000      0.999993      
30         30.500000      1.000004      
31         31.500000      0.999980      
32         32.500000      0.999977      
33         33.500000      0.999999      
34         34.500000      1.000004      
35         35.500000      0.999994      
36         36.500000      1.000026      
37         37.500000      1.000031      
38         38.500000      1.000015      
39         39.500000      1.000035      
40         40.500000      1.000071      
41         41.500000      1.000094      
42         42.500000      1.000090      
43         43.500000      1.000089      
44         44.500000      1.000085      
45         45.500000      1.000082      
46         46.500000      1.000081      
47         47.500000      1.000096      
48         48.500000      1.000097      
49         49.500000      1.000061      
50         50.500000      1.000007      
51         51.500000      0.999976      
52         52.500000      0.999972      
53         53.500000      0.999968      
54         54.500000      0.999949      
55         55.500000      0.999942      
56         56.500000      0.999940      
57         57.500000      0.999940      
58         58.500000      0.999949      
59         59.500000      0.999958      
60         60.500000      0.999943      
61         61.500000      0.999941      
62         62.500000      0.999944      
63         63.500000      0.999944      
64         64.500000      0.999971      
65         65.500000      0.999999      
66         66.500000      1.000025      
67         67.500000      1.000012      
68         68.500000      1.000001      
69         69.500000      1.000014      
70         70.500000      1.000053      
71         71.500000      1.000075      
72         72.500000      1.000073      
73         73.500000      1.000091      
74         74.500000      1.000107      
75         75.500000      1.000105      
76         76.500000      1.000104      
77         77.500000      1.000109      
78         78.500000      1.000104      
79         79.500000      1.000100      
80         80.500000      1.000100      
81         81.500000      1.000106      
82         82.500000      1.000099      
83         83.500000      1.000107      
84         84.500000      1.000105      
85         85.500000      1.000093      
86         86.500000      1.000094      
87         87.500000      1.000090      
88         88.500000      1.000083      
89         89.500000      1.000095      
90         90.500000      1.000101      
91         91.500000      1.000105      
92         92.500000      1.000102      
93         93.500000      1.000094      
94         94.500000      1.000089      
95         95.500000      1.000096      
96         96.500000      1.000089      
97         97.500000      1.000085      
98         98.500000      1.000083      
99         99.500000      1.000081      
100         100.500000      1.000084      
101         101.500000      1.000069      
102         102.500000      1.000077      
103         103.500000      1.000080      
104         104.500000      1.000065      
105         105.500000      1.000069      
106         106.500000      1.000075      
107         107.500000      1.000077      
108         108.500000      1.000068      
109         109.500000      1.000062      
110         110.500000      1.000051      
111         111.500000      1.000033      
112         112.500000      1.000043      
113         113.500000      1.000043      
114         114.500000      1.000038      
115         115.500000      1.000034      
116         116.500000      1.000044      
117         117.500000      1.000061      
118         118.500000      1.000043      
119         119.500000      1.000042      
120         120.500000      1.000048      
121         121.500000      1.000045      
122         122.500000      1.000046      
123         123.500000      1.000041      
124         124.500000      1.000037      
125         125.500000      1.000039      
126         126.500000      1.000040      
127         127.500000      1.000038      
128         128.500000      1.000040      
129         129.500000      1.000043      
130         130.500000      1.000040      
131         131.500000      1.000041      
132         132.500000      1.000039      
133         133.500000      1.000039      
134         134.500000      1.000056      
135         135.500000      1.000063      
136         136.500000      1.000019      
137         137.500000      1.000031      
138         138.500000      1.000015      
139         139.500000      1.000014      
140         140.500000      1.000022      
141         141.500000      0.999997      
142         142.500000      0.999982      
143         143.500000      0.999952      
144         144.500000      0.999943      
145         145.500000      0.999945      
146         146.500000      0.999934      
147         147.500000      0.999949      
148         148.500000      0.999944      
149         149.500000      0.999919      
150         150.500000      0.999906      
151         151.500000      0.999902      
152         152.500000      0.999895      
153         153.500000      0.999895      
154         154.500000      0.999927      
155         155.500000      0.999913      
156         156.500000      0.999905      
157         157.500000      0.999911      
158         158.500000      0.999904      
159         159.500000      0.999914      
160         160.500000      0.999924      
161         161.500000      0.999926      
162         162.500000      0.999916      
163         163.500000      0.999916      
164         164.500000      0.999921      
165         165.500000      0.999919      
166         166.500000      0.999921      
167         167.500000      0.999912      
168         168.500000      0.999915      
169         169.500000      0.999906      
170         170.500000      0.999895      
171         171.500000      0.999914      
172         172.500000      0.999915      
173         173.500000      0.999913      
174         174.500000      0.999918      
175         175.500000      0.999913      
176         176.500000      0.999914      
177         177.500000      0.999922      
178         178.500000      0.999928      
179         179.500000      0.999926      
180         180.500000      0.999933      
181         181.500000      0.999947      
182         182.500000      0.999947      
183         183.500000      0.999955      
184         184.500000      0.999963      
185         185.500000      0.999953      
186         186.500000      0.999952      
187         187.500000      0.999961      
188         188.500000      0.999964      
189         189.500000      0.999965      
190         190.500000      0.999972      
191         191.500000      0.999975      
192         192.500000      0.999979      
193         193.500000      0.999977      
194         194.500000      0.999978      
195         195.500000      0.999988      
196         196.500000      1.000008      
197         197.500000      0.999998      
198         198.500000      0.999994      
199         199.500000      1.000004      
200         200.500000      1.000011      
201         201.500000      1.000012      
202         202.500000      1.000007      
203         203.500000      1.000016      
204         204.500000      1.000024      
205         205.500000      1.000019      
206         206.500000      1.000016      
207         207.500000      1.000005      
208         208.500000      1.000012      
209         209.500000      1.000012      
210         210.500000      1.000012      
211         211.500000      1.000022      
212         212.500000      1.000019      
213         213.500000      1.000017      
214         214.500000      1.000012      
215         215.500000      1.000002      
216         216.500000      1.000008      
217         217.500000      1.000008      
218         218.500000      0.999999      
219         219.500000      1.000003      
220         220.500000      1.000006      
221         221.500000      1.000007      
222         222.500000      1.000005      
223         223.500000      0.999997      
224         224.500000      1.000000      
225         225.500000      0.999998      
226         226.500000      1.000003      
227         227.500000      1.000007      
228         228.500000      1.000001      
229         229.500000      1.000004      
230         230.500000      1.000007      
231         231.500000      1.000001      
232         232.500000      1.000008      
233         233.500000      1.000013      
234         234.500000      1.000006      
235         235.500000      1.000006      
236         236.500000      1.000008      
237         237.500000      1.000008      
238         238.500000      1.000012      
239         239.500000      1.000014      
240         240.500000      1.000017      
241         241.500000      1.000012      
242         242.500000      1.000010      
243         243.500000      1.000013      
244         244.500000      1.000011      
245         245.500000      1.000012      
246         246.500000      1.000015      
247         247.500000      1.000016      
248         248.500000      1.000016      
249         249.500000      1.000010      
250         250.500000      1.000005      
251         251.500000      1.000007      
252         252.500000      1.000012      
253         253.500000      1.000009      
254         254.500000      1.000004      
255         255.500000      1.000008      
256         256.500000      1.000011      
257         257.500000      1.000007      
258         258.500000      1.000007      
259         259.500000      1.000006      
260         260.500000      1.000000      
261         261.500000      1.000004      
262         262.500000      1.000007      
263         263.500000      1.000005      
264         264.500000      1.000008      
265         265.500000      1.000024      
266         266.500000      1.000019      
267         267.500000      1.000013      
268         268.500000      1.000014      
269         269.500000      1.000011      
270         270.500000      1.000010      
271         271.500000      1.000007      
272         272.500000      1.000012      
273         273.500000      1.000009      
274         274.500000      1.000011      
275         275.500000      1.000024      
276         276.500000      1.000020      
277         277.500000      1.000017      
278         278.500000      1.000010      
279         279.500000      1.000010      
280         280.500000      1.000022      
281         281.500000      1.000022      
282         282.500000      1.000017      
283         283.500000      1.000011      
284         284.500000      1.000013      
285         285.500000      1.000019      
286         286.500000      1.000015      
287         287.500000      1.000017      
288         288.500000      1.000022      
289         289.500000      1.000019      
290         290.500000      1.000014      
291         291.500000      1.000013      
292         292.500000      1.000014      
293         293.500000      1.000012      
294         294.500000      1.000012      
295         295.500000      1.000020      
296         296.500000      1.000016      
297         297.500000      1.000014      
298         298.500000      1.000020      
299         299.500000      1.000021      
300         300.500000      1.000016      
301         301.500000      1.000011      
302         302.500000      1.000007      
303         303.500000      1.000013      
304         304.500000      1.000017      
305         305.500000      1.000012      
306         306.500000      1.000023      
307         307.500000      1.000025      
308         308.500000      1.000001      
309         309.500000      0.999996      
310         310.500000      0.999996      
311         311.500000      0.999966      
312         312.500000      0.999960      
313         313.500000      0.999949      
314         314.500000      0.999929      
315         315.500000      0.999924      
316         316.500000      0.999875      
317         317.500000      0.999826      
318         318.500000      0.999777      
319         319.500000      0.999712      
320         320.500000      0.999622      
321         321.500000      0.999541      
322         322.500000      0.999487      
323         323.500000      0.999444      
324         324.500000      0.999441      
325         325.500000      0.999420      
326         326.500000      0.999429      
327         327.500000      0.999434      
328         328.500000      0.999459      
329         329.500000      0.999494      
330         330.500000      0.999480      
331         331.500000      0.999497      
332         332.500000      0.999503      
333         333.500000      0.999583      
334         334.500000      0.999599      
335         335.500000      0.999637      
336         336.500000      0.999713      
337         337.500000      0.999717      
338         338.500000      0.999804      
339         339.500000      0.999865      
340         340.500000      0.999912      
341         341.500000      0.999953      
342         342.500000      1.000039      
343         343.500000      1.000092      
344         344.500000      1.000114      
345         345.500000      1.000147      
346         346.500000      1.000142      
347         347.500000      1.000096      
348         348.500000      1.000217      
349         349.500000      1.000259      
350         350.500000      1.000297      
351         351.500000      1.000342      
352         352.500000      1.000309      
353         353.500000      1.000330      
354         354.500000      1.000344      
355         355.500000      1.000330      
356         356.500000      1.000324      
357         357.500000      1.000346      
358         358.500000      1.000380      
359         359.500000      1.000369      
360         360.500000      1.000359      
361         361.500000      1.000355      
362         362.500000      1.000362      
363         363.500000      1.000366      
364         364.500000      1.000361      
365         365.500000      1.000356      
366         366.500000      1.000329      
367         367.500000      1.000345      
368         368.500000      1.000357      
369         369.500000      1.000329      
370         370.500000      1.000298      
371         371.500000      1.000266      
372         372.500000      1.000270      
373         373.500000      1.000260      
374         374.500000      1.000254      
375         375.500000      1.000230      
376         376.500000      1.000168      
377         377.500000      1.000167      
378         378.500000      1.000159      
379         379.500000      1.000147      
380         380.500000      1.000092      
381         381.500000      1.000096      
382         382.500000      1.000070      
383         383.500000      1.000049      
384         384.500000      1.000059      
385         385.500000      1.000050      
386         386.500000      1.000052      
387         387.500000      1.000048      
388         388.500000      1.000026      
389         389.500000      1.000044      
390         390.500000      1.000044      
391         391.500000      1.000018      
392         392.500000      1.000009      
393         393.500000      0.999978      
394         394.500000      0.999966      
395         395.500000      0.999958      
396         396.500000      0.999951      
397         397.500000      0.999976      
398         398.500000      0.999949      
399         399.500000      0.999955      
400         400.500000      0.999939      
401         401.500000      0.999930      
402         402.500000      0.999939      
403         403.500000      0.999935      
404         404.500000      0.999938      
405         405.500000      0.999939      
406         406.500000      0.999931      
407         407.500000      0.999925      
408         408.500000      0.999906      
409         409.500000      0.999911      
410         410.500000      0.999916      
411         411.500000      0.999907      
412         412.500000      0.999918      
413         413.500000      0.999923      
414         414.500000      0.999929      
415         415.500000      0.999918      
416         416.500000      0.999902      
417         417.500000      0.999904      
418         418.500000      0.999911      
419         419.500000      0.999918      
420         420.500000      0.999915      
421         421.500000      0.999917      
422         422.500000      0.999930      
423         423.500000      0.999917      
424         424.500000      0.999915      
425         425.500000      0.999919      
426         426.500000      0.999920      
427         427.500000      0.999917      
428         428.500000      0.999924      
429         429.500000      0.999927      
430         430.500000      0.999927      
431         431.500000      0.999931      
432         432.500000      0.999936      
433         433.500000      0.999941      
434         434.500000      0.999948      
435         435.500000      0.999961      
436         436.500000      0.999974      
437         437.500000      0.999964      
438         438.500000      0.999946      
439         439.500000      0.999943      
440         440.500000      0.999972      
441         441.500000      0.999978      
